,Degree Distribution Exponent
Dolphins,1.47
Reptiles,2.12
E. coli Trans,2.295
Human Protein,2.24
Mouse Visual Cortex,2.06
Yeast Protein,2.185
AstroPh,2.891
CS PhD,1.928
GrQc,2.042
NetSci,2.386
Adolescent Health,1.876
Jazz,1.447
Zachary Karate Club,2.094
Madrid Train Bombings,1.425
EuroRoads,1.66
US Airports,1.702
US Power Grids,1.669
US States,1.478
Internet AS.,2.356
Les Misérables,1.689
Pol. Books,2.6
Deezer EU,2.273
Ego Facebook,2.291
Caltech,3.005
Facebook Pol. Pages,2.664
Hamsterster,1.868
PGP,2.804
Princeton,3.046
Retweets,2.178
BlumenauDrug,2.437
BudapestConnectome,1.696
YeastCollins,2.12
InteractomeVidal,2.192
MalariaGenes,2.443
KeggMetabolic,2.331
NewZealand,2.112
EUAirlines,2.061
InternetTopCogentco,1.66
LondonTransport,1.682
911AllWords,2.023
MovieGalaxies,2.392
BibleNouns,2.134
BoardDirectors,2.15
DNCEmails,1.417
GoT,2.022
MarvelPartnerships,1.724
FacebookFriends,2.015
FacebookOrganizations,2.279
DBLPCite,2.324
