,Average Degree,Average Distance,Density,Transitivity,Assortativity,Diameter,Efficiency,DegreeDistributionExp
Dolphins,5.12,3.35,0.084,0.308,-0.043,8,0.379,1.47
Reptiles,3.96,7.93,0.008,0.419,0.345,21,0.155,2.12
E. coli Trans,2.77,4.84,0.008,0.023,-0.263,13,0.245,2.295
Human Protein,5.78,3.84,0.002,0.007,-0.331,10,0.281,2.24
Mouse Visual Cortex,2.21,4.27,0.015,0.004,-0.844,8,0.271,2.06
Yeast Protein,2.73,6.81,0.001,0.051,-0.207,19,0.163,2.185
AstroPh,22.0,4.18,0.001,0.317,0.201,14,0.255,2.891
CS PhD,2.03,11.74,0.001,0.002,-0.253,28,0.105,1.928
GrQc,6.45,6.04,0.001,0.628,0.639,17,0.179,2.042
NetSci,4.83,6.04,0.012,0.43,-0.081,17,0.203,2.386
Adolescent Health,8.23,4.55,0.003,0.141,0.251,10,0.234,1.876
Jazz,27.69,2.23,0.14,0.52,0.02,6,0.513,1.447
Zachary Karate Club,4.58,2.4,0.139,0.255,-0.475,5,0.492,2.094
Madrid Train Bombings,7.59,2.69,0.12,0.561,0.029,6,0.448,1.425
EuroRoads,2.51,18.39,0.002,0.035,0.09,62,0.07,1.66
US Airports,11.92,2.99,0.023,0.351,-0.267,7,0.371,1.702
US Power Grids,2.66,18.98,0.005,0.103,0.003,46,0.062,1.669
US States,4.36,4.16,0.09,0.406,0.233,11,0.338,1.478
Football,10.66,2.5,0.093,0.407,0.162,4,0.45,1.327
Internet AS.,3.88,3.7,0.0006,0.009,-0.181,9,0.29,2.356
Les Misérables,6.59,2.64,0.086,0.498,-0.165,5,0.435,1.689
Pol. Books,8.4,3.07,0.08,0.348,-0.127,7,0.397,2.6
Deezer EU,6.55,6.44,0.002,0.095,0.104,21,0.169,2.273
Ego Facebook,43.69,3.69,0.01,0.519,0.063,8,0.306,2.291
Caltech,43.7,2.23,0.057,0.291,-0.066,6,0.461,3.005
Facebook Pol. Pages,14.12,4.66,0.002,0.301,0.018,14,0.231,2.664
Hamsterster,13.49,3.45,0.007,0.09,-0.088,14,0.317,1.868
PGP,4.55,7.48,0.0004,0.378,0.238,24,0.147,2.804
Princeton,89.21,2.67,0.013,0.163,0.09,9,0.4,3.046
Retweets,2.7,5.35,0.003,0.06,-0.099,14,0.208,2.178
BlumenauDrug,4.83,2.81,0.065,0.108,-0.314,6,0.406,2.437
BudapestConnectome,139.22,2.218,0.137,0.557,0.215,5,0.5001,1.696
YeastCollins,16.57,5.55,0.016,0.617,0.556,15,0.22,2.12
InteractomeVidal,4.32,4.83,0.0015,0.035,-0.136,13,0.222,2.192
MalariaGenes,18.31,3.51,0.059,0.586,0.599,8,0.348,2.443
KeggMetabolic,6.18,3.11,0.003,0.029,-0.224,8,0.342,2.331
NewZealand,5.8,2.75,0.004,0.063,-0.339,6,0.381,2.112
EUAirlines,14.16,2.76,0.034,0.303,-0.151,7,0.4,2.061
InternetTopCogentco,2.46,10.51,0.012,0.019,0.027,28,0.137,1.66
LondonTransport,2.33,13.73,0.006,0.051,0.137,39,0.101,1.682
911AllWords,22.24,3.124,0.0016,0.106,-0.108,10,0.334,2.023
MovieGalaxies,5.98,2.06,0.055,0.162,-0.359,3,0.508,2.392
BibleNouns,10.61,3.375,0.006,0.162,-0.051,8,0.319,2.134
BoardDirectors,6.43,6.67,0.007,0.624,0.051,17,0.176,2.15
DNCEmails,24.46,2.76,0.028,0.548,-0.133,8,0.399,1.417
GoT,6.58,2.9,0.062,0.328,-0.13,6,0.398,2.022
MarvelPartnerships,2.47,7.92,0.013,0.216,-0.206,21,0.167,1.724
FacebookFriends,11.87,3.58,0.036,0.512,0.073,9,0.326,2.015
FacebookOrganizations,34.11,3.5,0.006,0.222,0.103,9,0.312,2.279
DBLPCite,7.93,4.21,0.0006,0.062,-0.046,10,0.24,2.324
